date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:46%20GMT	http://odescomplicando.com/_assets/8bf9182b01697382.pt-BR.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/8bf9182b01697382.pt-BR.js	(from https://odescomplicando.com/)
16:04:46	265/265	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:47%20GMT	https://odescomplicando.com/_assets/8bf9182b01697382.pt-BR.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/8bf9182b01697382.pt-BR.js	(from https://odescomplicando.com/)
16:04:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:48%20GMT	http://odescomplicando.com/_assets/a140836a525c603a.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/a140836a525c603a.js	(from https://odescomplicando.com/)
16:04:47	2105539/2105539	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2014:04:48%20GMT	https://odescomplicando.com/_assets/a140836a525c603a.js	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/a140836a525c603a.js	(from https://odescomplicando.com/)
16:04:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:48%20GMT	http://odescomplicando.com/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://odescomplicando.com/)
16:04:48	721/721	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:49%20GMT	https://odescomplicando.com/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://odescomplicando.com/)
16:04:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:50%20GMT	http://odescomplicando.com/_assets/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	(from https://odescomplicando.com/)
16:04:49	5971/5971	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:50%20GMT	https://odescomplicando.com/_assets/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	(from https://odescomplicando.com/)
16:04:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:50%20GMT	http://odescomplicando.com/_assets/images/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/725b756a69a7d4c235070e51acd85560.png	(from https://odescomplicando.com/)
16:04:49	3106/3106	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:50%20GMT	https://odescomplicando.com/_assets/images/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/images/725b756a69a7d4c235070e51acd85560.png	(from https://odescomplicando.com/)
16:04:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:50%20GMT	http://odescomplicando.com/_assets	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets	(from https://odescomplicando.com/)
16:04:50	394/394	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2023%20Jan%202026%2014:04:51%20GMT	https://odescomplicando.com/_assets	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets	(from https://odescomplicando.com/)
16:04:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:51%20GMT	http://odescomplicando.com/_assets/media/a65a1accad6a7fc235097ca9198d5320.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/a65a1accad6a7fc235097ca9198d5320.png	(from https://odescomplicando.com/)
16:04:50	28580/28580	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:51%20GMT	https://odescomplicando.com/_assets/media/a65a1accad6a7fc235097ca9198d5320.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/a65a1accad6a7fc235097ca9198d5320.png	(from https://odescomplicando.com/)
16:04:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:51%20GMT	http://odescomplicando.com/_assets/media/caeacd0fdbbda86cc4d08008d4b87c1e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/caeacd0fdbbda86cc4d08008d4b87c1e.png	(from https://odescomplicando.com/)
16:04:51	65356/65356	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:52%20GMT	https://odescomplicando.com/_assets/media/caeacd0fdbbda86cc4d08008d4b87c1e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/caeacd0fdbbda86cc4d08008d4b87c1e.png	(from https://odescomplicando.com/)
16:04:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:52%20GMT	http://odescomplicando.com/_assets/media/fe93a9da3473cbdc9293a3088641477a.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fe93a9da3473cbdc9293a3088641477a.png	(from https://odescomplicando.com/)
16:04:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:54%20GMT	http://odescomplicando.com/_assets/media/fb4f48d1acf550dff71ed56d6e65957e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fb4f48d1acf550dff71ed56d6e65957e.png	(from https://odescomplicando.com/)
16:04:52	33624/33624	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:53%20GMT	https://odescomplicando.com/_assets/media/fe93a9da3473cbdc9293a3088641477a.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fe93a9da3473cbdc9293a3088641477a.png	(from https://odescomplicando.com/)
16:04:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:54%20GMT	http://odescomplicando.com/_assets/media/b43d554e22ea465107df5a2984ba1246.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b43d554e22ea465107df5a2984ba1246.png	(from https://odescomplicando.com/)
16:04:54	75568/75568	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:54%20GMT	https://odescomplicando.com/_assets/media/fb4f48d1acf550dff71ed56d6e65957e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fb4f48d1acf550dff71ed56d6e65957e.png	(from https://odescomplicando.com/)
16:04:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:56%20GMT	http://odescomplicando.com/_assets/media/dc26eca44ff77cde6df23c094f232c0e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/dc26eca44ff77cde6df23c094f232c0e.png	(from https://odescomplicando.com/)
16:04:56	118154/118154	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:55%20GMT	https://odescomplicando.com/_assets/media/b43d554e22ea465107df5a2984ba1246.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b43d554e22ea465107df5a2984ba1246.png	(from https://odescomplicando.com/)
16:04:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:04:58%20GMT	http://odescomplicando.com/_assets/media/91c9e93f45c0424b2fbbb0b85b199362.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/91c9e93f45c0424b2fbbb0b85b199362.png	(from https://odescomplicando.com/)
16:04:58	175231/175231	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:57%20GMT	https://odescomplicando.com/_assets/media/dc26eca44ff77cde6df23c094f232c0e.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/dc26eca44ff77cde6df23c094f232c0e.png	(from https://odescomplicando.com/)
16:05:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:00%20GMT	http://odescomplicando.com/_assets/media/dc247a7bd6c61be5148469319c964f98.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/dc247a7bd6c61be5148469319c964f98.png	(from https://odescomplicando.com/)
16:05:00	379512/379512	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:04:59%20GMT	https://odescomplicando.com/_assets/media/91c9e93f45c0424b2fbbb0b85b199362.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/91c9e93f45c0424b2fbbb0b85b199362.png	(from https://odescomplicando.com/)
16:05:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:02%20GMT	http://odescomplicando.com/_assets/media/b4250988e6d89928c025e77e8dc85a9f.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b4250988e6d89928c025e77e8dc85a9f.png	(from https://odescomplicando.com/)
16:05:02	643822/643822	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:01%20GMT	https://odescomplicando.com/_assets/media/dc247a7bd6c61be5148469319c964f98.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/dc247a7bd6c61be5148469319c964f98.png	(from https://odescomplicando.com/)
16:05:02	21223/21223	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:03%20GMT	https://odescomplicando.com/_assets/media/b4250988e6d89928c025e77e8dc85a9f.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b4250988e6d89928c025e77e8dc85a9f.png	(from https://odescomplicando.com/)
16:05:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:04%20GMT	http://odescomplicando.com/_assets/media/0fb5bbd07c3f19dea79606a3bc698ef8.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/0fb5bbd07c3f19dea79606a3bc698ef8.png	(from https://odescomplicando.com/)
16:05:04	47218/47218	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:05%20GMT	https://odescomplicando.com/_assets/media/0fb5bbd07c3f19dea79606a3bc698ef8.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/0fb5bbd07c3f19dea79606a3bc698ef8.png	(from https://odescomplicando.com/)
16:05:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:06%20GMT	http://odescomplicando.com/_assets/media/7be858b6cf08232669f893778e04b4c5.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/7be858b6cf08232669f893778e04b4c5.png	(from https://odescomplicando.com/)
16:05:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:08%20GMT	http://odescomplicando.com/_assets/media/fc5f29d689035e543dc8457bba38bca6.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fc5f29d689035e543dc8457bba38bca6.jpg	(from https://odescomplicando.com/)
16:05:08	83244/83244	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:08%20GMT	https://odescomplicando.com/_assets/media/7be858b6cf08232669f893778e04b4c5.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/7be858b6cf08232669f893778e04b4c5.png	(from https://odescomplicando.com/)
16:05:08	20656/20656	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:10%20GMT	https://odescomplicando.com/_assets/media/fc5f29d689035e543dc8457bba38bca6.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fc5f29d689035e543dc8457bba38bca6.jpg	(from https://odescomplicando.com/)
16:05:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:10%20GMT	http://odescomplicando.com/_assets/media/6db9a1d6dfbe8435c38801936dc0bae3.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/6db9a1d6dfbe8435c38801936dc0bae3.jpg	(from https://odescomplicando.com/)
16:05:10	24939/24939	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:12%20GMT	https://odescomplicando.com/_assets/media/6db9a1d6dfbe8435c38801936dc0bae3.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/6db9a1d6dfbe8435c38801936dc0bae3.jpg	(from https://odescomplicando.com/)
16:05:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:12%20GMT	http://odescomplicando.com/_assets/media/12018b709740188c8ec1405af39faf86.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/12018b709740188c8ec1405af39faf86.jpg	(from https://odescomplicando.com/)
16:05:11	20197/20197	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:12%20GMT	https://odescomplicando.com/_assets/media/12018b709740188c8ec1405af39faf86.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/12018b709740188c8ec1405af39faf86.jpg	(from https://odescomplicando.com/)
16:05:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:12%20GMT	http://odescomplicando.com/_assets/media/1be25ffb9a1f3d92af8ebd2b8b35644b.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/1be25ffb9a1f3d92af8ebd2b8b35644b.jpg	(from https://odescomplicando.com/)
16:05:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:14%20GMT	http://odescomplicando.com/_assets/media/c43ac61bb276ed784b9feeff6d3167a8.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/c43ac61bb276ed784b9feeff6d3167a8.jpg	(from https://odescomplicando.com/)
16:05:14	81223/81223	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:13%20GMT	https://odescomplicando.com/_assets/media/1be25ffb9a1f3d92af8ebd2b8b35644b.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/1be25ffb9a1f3d92af8ebd2b8b35644b.jpg	(from https://odescomplicando.com/)
16:05:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:16%20GMT	http://odescomplicando.com/_assets/media/2a2f2e75ce9782c6423bb65281c0451c.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/2a2f2e75ce9782c6423bb65281c0451c.jpg	(from https://odescomplicando.com/)
16:05:16	182236/182236	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:15%20GMT	https://odescomplicando.com/_assets/media/c43ac61bb276ed784b9feeff6d3167a8.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/c43ac61bb276ed784b9feeff6d3167a8.jpg	(from https://odescomplicando.com/)
16:05:16	20728/20728	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:18%20GMT	https://odescomplicando.com/_assets/media/2a2f2e75ce9782c6423bb65281c0451c.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/2a2f2e75ce9782c6423bb65281c0451c.jpg	(from https://odescomplicando.com/)
16:05:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:18%20GMT	http://odescomplicando.com/_assets/media/b853524fc47b1e9547a7aa02bca6a5e6.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b853524fc47b1e9547a7aa02bca6a5e6.jpg	(from https://odescomplicando.com/)
16:05:20	58263/58263	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2014:05:20%20GMT	https://odescomplicando.com/_assets/media/b853524fc47b1e9547a7aa02bca6a5e6.jpg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/b853524fc47b1e9547a7aa02bca6a5e6.jpg	(from https://odescomplicando.com/)
16:05:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:20%20GMT	http://odescomplicando.com/_assets/media/fea1775c265beea9b248f4fa76d938d0.svg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fea1775c265beea9b248f4fa76d938d0.svg	(from https://odescomplicando.com/)
16:05:21	1207/1207	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Jan%202026%2014:05:22%20GMT	https://odescomplicando.com/_assets/media/fea1775c265beea9b248f4fa76d938d0.svg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/fea1775c265beea9b248f4fa76d938d0.svg	(from https://odescomplicando.com/)
16:05:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:22%20GMT	http://odescomplicando.com/_assets/media/0cebe5f72e351df6bc2e8eff84a62943.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/0cebe5f72e351df6bc2e8eff84a62943.png	(from https://odescomplicando.com/)
16:05:21	16591/16591	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:22%20GMT	https://odescomplicando.com/_assets/media/0cebe5f72e351df6bc2e8eff84a62943.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/0cebe5f72e351df6bc2e8eff84a62943.png	(from https://odescomplicando.com/)
16:05:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:22%20GMT	http://odescomplicando.com/_assets/media/66bff0ccab74fbb4da3ed1c77f08f002.svg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/66bff0ccab74fbb4da3ed1c77f08f002.svg	(from https://odescomplicando.com/)
16:05:21	934/934	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Jan%202026%2014:05:23%20GMT	https://odescomplicando.com/_assets/media/66bff0ccab74fbb4da3ed1c77f08f002.svg	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/66bff0ccab74fbb4da3ed1c77f08f002.svg	(from https://odescomplicando.com/)
16:05:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:23%20GMT	http://odescomplicando.com/_assets/media/3fa08a6736b82420a701ef7954832414.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/3fa08a6736b82420a701ef7954832414.png	(from https://odescomplicando.com/)
16:05:22	32595/32595	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:23%20GMT	https://odescomplicando.com/_assets/media/3fa08a6736b82420a701ef7954832414.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/3fa08a6736b82420a701ef7954832414.png	(from https://odescomplicando.com/)
16:05:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:23%20GMT	http://odescomplicando.com/_assets/media/ad00e03363f3a88a3ff04e4d28ae1922.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/ad00e03363f3a88a3ff04e4d28ae1922.png	(from https://odescomplicando.com/)
16:05:22	72755/72755	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:24%20GMT	https://odescomplicando.com/_assets/media/ad00e03363f3a88a3ff04e4d28ae1922.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/ad00e03363f3a88a3ff04e4d28ae1922.png	(from https://odescomplicando.com/)
16:05:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:24%20GMT	http://odescomplicando.com/_assets/media/97550f8da8791a912ce40dcdad0cd20d.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/97550f8da8791a912ce40dcdad0cd20d.png	(from https://odescomplicando.com/)
16:05:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:26%20GMT	http://odescomplicando.com/_assets/media/6eae03d6019705dc6fcf3a2d6b9c72af.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/6eae03d6019705dc6fcf3a2d6b9c72af.png	(from https://odescomplicando.com/)
16:05:26	116848/116848	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:26%20GMT	https://odescomplicando.com/_assets/media/97550f8da8791a912ce40dcdad0cd20d.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/97550f8da8791a912ce40dcdad0cd20d.png	(from https://odescomplicando.com/)
16:05:26	25202/25202	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:28%20GMT	https://odescomplicando.com/_assets/media/6eae03d6019705dc6fcf3a2d6b9c72af.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/6eae03d6019705dc6fcf3a2d6b9c72af.png	(from https://odescomplicando.com/)
16:05:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:28%20GMT	http://odescomplicando.com/_assets/media/1e977d186c9b152f6dd67c817ed48c6c.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/1e977d186c9b152f6dd67c817ed48c6c.png	(from https://odescomplicando.com/)
16:05:30	64148/64148	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2014:05:30%20GMT	https://odescomplicando.com/_assets/media/1e977d186c9b152f6dd67c817ed48c6c.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/1e977d186c9b152f6dd67c817ed48c6c.png	(from https://odescomplicando.com/)
16:05:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Jan%202026%2014:05:30%20GMT	http://odescomplicando.com/_assets/media/7f20910cbee5f84107ffa3b44f706ede.png	C:/My%20Web%20Sites/Profissional/odescomplicando.com/_assets/media/7f20910cbee5f84107ffa3b44f706ede.png	(from https://odescomplicando.com/)
